student_id,student_name,student_gpa,student_category,student_location,internship_id,company,title,internship_location,stipend,work_mode,similarity_score,success_probability
STU00601,Myra Saxena,9.23,female,Hyderabad,INT00195,Morgan Stanley,InfoSec Intern,Ahmedabad,98931.0,Hybrid,0.822043095383578,0.95
STU00178,Dev Chopra,6.87,general,Hyderabad,INT00174,Wipro,Web Developer Intern,Bangalore,27112.0,On-site,0.8163212516952515,0.8644505012776958
STU00486,Dev N. Bansal,8.69,general,Noida,INT00052,Goldman Sachs,Security Analyst Intern,Noida,108940.0,On-site,0.7897014532048359,0.9023433303739434
STU00635,Pari Bansal,8.05,rural,Pune,INT00200,Zomato,Deep Learning Intern,Jaipur,43384.0,Remote,0.7825597414253533,0.9057510021790784
STU00923,Khushi Pandey,8.39,general,Hyderabad,INT00080,HDFC Bank,Business Analyst Intern,Hyderabad,61194.0,Remote,0.7520728279197347,0.95
STU00536,Pihu Kumar,8.91,general,Kolkata,INT00197,Microsoft,Machine Learning Intern,Pune,116094.0,Remote,0.7876118268746809,0.8965400637354414
STU00686,Sneha Y. Shah,8.74,rural,Hyderabad,INT00010,PwC,Business Analyst Intern,Hyderabad,44652.0,On-site,0.7507194582919108,0.95
STU00395,Anika A. Aggarwal,8.93,general,Pune,INT00046,Goldman Sachs,InfoSec Intern,Mumbai,67597.0,Remote,0.7409559444651472,0.95
STU00799,Rahul R. Shah,6.59,general,Noida,INT00030,Microsoft,ML Engineer Intern,Noida,143654.0,On-site,0.7763939098598269,0.8953090333940942
STU00163,Myra Z. Kumar,8.54,general,Mumbai,INT00055,Deloitte,Backend Developer Intern,Mumbai,41437.0,On-site,0.7517404814450426,0.9285903671807155
STU00175,Aditya Iyer,7.13,general,Delhi,INT00115,Ola,Web Developer Intern,Gurgaon,45467.0,Remote,0.7582265971990243,0.91116675747398
STU00576,Aarav H. Iyer,7.86,reserved,Gurgaon,INT00078,Cognizant,Software Engineer Intern,Mumbai,38394.0,On-site,0.7565000565611433,0.9132575811345881
STU00875,Anaya Patel,8.69,reserved,Pune,INT00148,Cognizant,Full Stack Developer Intern,Kolkata,37232.0,On-site,0.7414749493763926,0.9316267288536046
STU00753,Tara X. Singh,8.33,general,Hyderabad,INT00162,Microsoft,AI Research Intern,Kolkata,145673.0,On-site,0.7287624756438491,0.9451985824130883
STU00239,Dev Shah,9.23,rural,Chennai,INT00057,Freshworks,AI Research Intern,Hyderabad,42547.0,Hybrid,0.7178198329113591,0.95
STU00401,Tara Mittal,8.97,general,Mumbai,INT00150,Flipkart,Deep Learning Intern,Jaipur,54142.0,On-site,0.7608233251243219,0.8765800832796069
STU00971,Vikram Mittal,9.02,reserved,Hyderabad,INT00167,Morgan Stanley,Full Stack Developer Intern,Delhi,116756.0,On-site,0.7557586055753371,0.8823714178912094
STU00958,Sara Iyer,8.08,general,Noida,INT00004,EY,Software Engineer Intern,Noida,70294.0,Hybrid,0.7255352890817356,0.9201571521907614
STU00704,Ajay Thakur,7.72,general,Delhi,INT00083,HDFC Bank,Cybersecurity Intern,Delhi,106622.0,Hybrid,0.7389525320212199,0.8939277202914593
STU00353,Nikhil Kumar,9.46,general,Jaipur,INT00064,McKinsey,Data Analyst Intern,Gurgaon,67936.0,Hybrid,0.704701117348845,0.9388297937710584
STU00800,Tara Gupta,8.66,general,Surat,INT00162,Microsoft,AI Research Intern,Kolkata,145673.0,On-site,0.7544788133345042,0.8625080601420115
STU00917,Ira H. Nair,9.5,female,Pune,INT00149,HDFC Bank,Cybersecurity Intern,Pune,80616.0,On-site,0.6990648591737656,0.9431464959177844
STU00765,Aadhya Chopra,9.5,rural,Bangalore,INT00063,Google,Cloud Engineer Intern,Pune,88330.0,On-site,0.6937879650953888,0.95
STU00420,Aarav Jain,8.68,general,Delhi,INT00176,Swiggy,ML Engineer Intern,Jaipur,43993.0,Hybrid,0.7071295512301642,0.9298923854347818
STU00813,Rekha Sharma,9.32,rural,Jaipur,INT00172,Freshworks,AI Research Intern,Surat,79961.0,On-site,0.7085283862254413,0.9184617538962148
STU00385,Aarav Joshi,8.38,rural,Mumbai,INT00007,HDFC Bank,InfoSec Intern,Ahmedabad,67310.0,On-site,0.7591846230081908,0.8424615878848012
STU00452,Pihu Iyer,7.76,general,Mumbai,INT00188,BYJU'S,Android Developer Intern,Kolkata,73648.0,On-site,0.7457327178725386,0.8626208841906937
STU00022,Tara Nair,9.17,reserved,Noida,INT00032,Goldman Sachs,Security Analyst Intern,Mumbai,109429.0,On-site,0.7152325702773898,0.9069783893455363
STU00226,Darsh D. Jain,8.97,general,Surat,INT00126,HDFC Bank,Software Engineer Intern,Ahmedabad,72453.0,On-site,0.721850940678573,0.8963432355581624
STU00993,Sara Patel,8.58,reserved,Kolkata,INT00083,HDFC Bank,Cybersecurity Intern,Delhi,106622.0,Hybrid,0.7072968902737359,0.9156953787826251
STU00551,Neha Iyer,7.65,female,Chennai,INT00076,Freshworks,Android Developer Intern,Mumbai,55342.0,On-site,0.7185944472893018,0.8902949483030594
STU00743,Sita Nair,8.77,general,Ahmedabad,INT00083,HDFC Bank,Cybersecurity Intern,Delhi,106622.0,Hybrid,0.7125460687639279,0.8934335866988061
STU00832,Saanvi Tiwari,8.41,general,Noida,INT00113,McKinsey,Product Designer Intern,Noida,88274.0,On-site,0.7247298979141569,0.8748207390492003
STU00701,Krishna Chopra,9.68,general,Ahmedabad,INT00093,Morgan Stanley,Product Management Intern,Kolkata,97612.0,Remote,0.6742456019916735,0.95
STU00280,Pari Agarwal,6.95,rural,Chennai,INT00023,McKinsey,Product Management Intern,Noida,63869.0,Remote,0.7482132002905484,0.8377606470050286
STU00185,Lata H. Kumar,8.01,general,Pune,INT00149,HDFC Bank,Cybersecurity Intern,Pune,80616.0,On-site,0.7095378598992255,0.8921648291949416
STU00059,Ayaan C. Aggarwal,8.81,general,Jaipur,INT00016,Paytm,Data Science Intern,Jaipur,75708.0,On-site,0.6999010739547493,0.9059102994477033
STU00328,Aadhya Tiwari,9.47,reserved,Noida,INT00029,Netflix,Software Engineer Intern,Mumbai,123369.0,On-site,0.7082208308955458,0.8914249424335839
STU00979,Aditya T. Rajput,9.2,female,Kolkata,INT00159,Meta,Deep Learning Intern,Delhi,91362.0,On-site,0.6804207696387778,0.9311438933126247
STU00186,Sneha Agarwal,8.32,general,Gurgaon,INT00081,Zomato,Mobile App Developer Intern,Gurgaon,45109.0,Remote,0.7041948791585606,0.8946695421771362
STU00422,Sita Saxena,9.13,general,Mumbai,INT00154,ICICI Bank,Cybersecurity Intern,Ahmedabad,105528.0,On-site,0.6926593538708394,0.9103703990270515
