id,name,email,phone,gpa,skills,education,college,location,category,past_internships,preferred_companies,github_profile,linkedin_profile,resume_score,availability_start,preferred_duration,expected_stipend,willingness_to_relocate,is_rural,is_female,experience,created_at
STU00001,Daksh N. Chopra,daksh.chopra@student.edu,06176600099,7.21,"node.js, python, c#, ruby, mongodb, xamarin, pandas",B.Tech CSE,IIT Guwahati,Hyderabad,general,0,"PhonePe, Microsoft, Paytm",,https://linkedin.com/in/daksh-chopra-1,89.7,2025-11-17,6,30862,No,False,True,6,2025-09-21T14:12:36.283587
STU00002,Rahul G. Pandey,pandey.rahul@gmail.com,+919251310403,6.64,"python, express.js, cryptography, java",B.Tech IT,NIT Surathkal,Delhi,rural,0,"BYJU'S, HCL Technologies, Meta, ICICI Bank, EY",https://github.com/rahulpandey2,,82.1,2025-12-18,3,45776,Yes,True,False,24,2025-09-17T14:12:36.284238
STU00003,Meena Bansal,meena.bansal@student.edu,+913333375734,6.88,"jenkins, power bi, vue.js, tableau, business analysis",B.Tech ECE,IIT Bombay,Jaipur,rural,0,"Freshworks, PwC, Infosys, Apple, PhonePe, KPMG, Microsoft",https://github.com/meenabansal3,https://linkedin.com/in/meena-bansal-3,62.1,2025-12-11,12,67864,Yes,True,False,3,2025-09-24T14:12:36.284238
STU00004,Vikram Joshi,vikram4@college.ac.in,07321731010,7.05,"elasticsearch, postgresql, kubernetes, numpy, oracle, cassandra, redis, neural networks, scikit-learn, sap",B.Sc Computer Science,IIT Kharagpur,Chennai,general,2,"Axis Bank, McKinsey, Zomato",https://github.com/vikramjoshi4,https://linkedin.com/in/vikram-joshi-4,81.9,2025-12-25,12,49310,No,False,False,7,2025-09-12T14:12:36.284238
STU00005,Advaith Patel,patel.advaith@gmail.com,9798823542,6.44,"xamarin, mysql, sketch, postgresql, numpy, r, pytorch, oracle, mongodb, redis, natural language processing",MCA,IIT Kanpur,Bangalore,general,2,"Meta, Netflix, Cognizant",https://github.com/advaithpatel5,https://linkedin.com/in/advaith-patel-5,68.8,2025-11-09,3,43500,Preferred,False,False,16,2025-09-24T14:12:36.285322
STU00006,Myra C. Joshi,joshi.myra@gmail.com,+916179849241,6.78,"reinforcement learning, computer vision, tensorflow, power bi, mongodb, neural networks, django",B.E Computer Science,IIT Kanpur,Hyderabad,rural,0,"Apple, JP Morgan, Axis Bank, Tech Mahindra",https://github.com/myrajoshi6,https://linkedin.com/in/myra-joshi-6,69.0,2025-11-20,6,65180,Preferred,True,False,17,2025-09-21T14:12:36.285322
STU00007,Dev Bansal,devbansal7@email.com,3734494781,7.99,"c++, power bi, kotlin, flask, business analysis, powerpoint, sap, javascript",B.E Computer Science,IIT Kharagpur,Delhi,general,1,"Paytm, Google, Tech Mahindra, ICICI Bank, KPMG, Wipro",https://github.com/devbansal7,https://linkedin.com/in/dev-bansal-7,89.7,2025-11-24,3,48572,Yes,False,False,20,2025-09-26T14:12:36.285322
STU00008,Kavya Iyer,iyer.kavya@gmail.com,04142857319,7.84,"mysql, android, r, java, c#, ruby, vue.js, go",M.Tech AI/ML,VIT Vellore,Kolkata,reserved,2,"JP Morgan, Ola, Deloitte, HDFC Bank, Axis Bank",https://github.com/kavyaiyer8,,61.9,2025-12-16,6,58269,Preferred,False,True,11,2025-09-04T14:12:36.285322
STU00009,Pari J. Bansal,pari.bansal@student.edu,+910070808181,8.07,"pandas, node.js, docker, deep learning",B.Tech ECE,BMS College,Noida,general,1,"Tech Mahindra, Morgan Stanley, KPMG, Deloitte",,https://linkedin.com/in/pari-bansal-9,86.2,2025-11-09,6,44663,Preferred,False,True,15,2025-09-21T14:12:36.286320
STU00010,Rahul Singh,singh.rahul@gmail.com,+911615693865,7.47,"numpy, tensorflow, neural networks, php",BCA,PES University,Ahmedabad,female,1,"Freshworks, Microsoft, Goldman Sachs, Zomato, Netflix",https://github.com/rahulsingh10,,68.8,2025-11-12,3,34865,Yes,False,True,8,2025-08-28T14:12:36.286320
STU00011,Geeta Patel,patel.geeta@gmail.com,09364351098,6.33,"aws, google cloud, penetration testing, vue.js, terraform, business analysis, azure",B.Tech IT,Manipal Institute,Pune,general,1,"Cognizant, HCL Technologies, Freshworks, Deloitte, Zomato",,https://linkedin.com/in/geeta-patel-11,67.3,2025-11-15,6,37169,Preferred,False,True,8,2025-09-21T14:12:36.286320
STU00012,Arjun Gupta,arjungupta12@email.com,08336362484,7.27,"ios, elasticsearch, neural networks, rust, c#, java, go",B.Tech CSE,IIT Kharagpur,Jaipur,general,2,"HDFC Bank, BYJU'S, Morgan Stanley, Unacademy, Freshworks",https://github.com/arjungupta12,https://linkedin.com/in/arjun-gupta-12,73.8,2025-11-12,12,55459,No,False,False,7,2025-09-09T14:12:36.286320
STU00013,Reyansh Verma,reyanshverma13@email.com,+913732650753,7.66,"reinforcement learning, android, excel, r, computer vision, react native, pandas, neural networks, natural language processing",B.E Computer Science,IIT Bombay,Ahmedabad,general,2,"ICICI Bank, Netflix, Deloitte, Paytm",https://github.com/reyanshverma13,https://linkedin.com/in/reyansh-verma-13,67.4,2025-12-26,3,40158,No,False,True,3,2025-09-25T14:12:36.287320
STU00014,Ananya L. Goel,ananyagoel14@email.com,+912383335210,7.53,"mysql, postgresql, r, ethical hacking, oracle, cassandra, flask, project management",B.E Computer Science,IIT Delhi,Pune,general,2,"PwC, Wipro, Amazon, BYJU'S, Goldman Sachs, Ola, HDFC Bank",,https://linkedin.com/in/ananya-goel-14,87.9,2025-11-03,6,35927,No,False,False,7,2025-08-30T14:12:36.287320
STU00015,Ira Chauhan,irachauhan15@email.com,+911244124633,8.39,"reinforcement learning, numpy, flask, pytorch, tensorflow, ui/ux design, tableau",B.Tech CSE,PES University,Mumbai,reserved,2,"Amazon, HDFC Bank, ICICI Bank, Swiggy, Deloitte",,https://linkedin.com/in/ira-chauhan-15,87.1,2025-11-09,3,24998,Preferred,False,True,5,2025-09-23T14:12:36.287320
STU00016,Aahan Mishra,aahanmishra16@email.com,08798173617,7.37,"sketch, elasticsearch, figma, kubernetes, wireframing, ethical hacking, ruby, ui/ux design, neural networks, adobe illustrator",B.Tech ECE,NIT Calicut,Mumbai,rural,1,"Amazon, Apple, Goldman Sachs, Axis Bank, Paytm, HDFC Bank",https://github.com/aahanmishra16,https://linkedin.com/in/aahan-mishra-16,61.9,2025-11-26,12,63148,Preferred,True,True,8,2025-08-28T14:12:36.287320
STU00017,Lata M. Yadav,lata.yadav@student.edu,02645135716,7.31,"ios, reinforcement learning, react native, php, neural networks, natural language processing",B.E Computer Science,VIT Vellore,Mumbai,female,2,"Goldman Sachs, Apple, Infosys, Freshworks, Amazon, BYJU'S, Cognizant",https://github.com/latayadav17,https://linkedin.com/in/lata-yadav-17,64.7,2025-11-28,3,65721,No,False,True,17,2025-09-14T14:12:36.288321
STU00018,Shaurya E. Kumar,shaurya.kumar@student.edu,+910556295799,7.71,"ios, python, pytorch, vue.js, flask, django",MCA,IIT Kharagpur,Kolkata,female,2,"Zomato, HCL Technologies, Goldman Sachs, Netflix",https://github.com/shauryakumar18,https://linkedin.com/in/shaurya-kumar-18,75.6,2025-12-16,12,35474,Yes,False,True,24,2025-09-07T14:12:36.288321
STU00019,Sunita Yadav,yadav.sunita@gmail.com,1341659882,6.15,"figma, penetration testing, firewall, ethical hacking, wireframing, spring boot, cryptography, kotlin, network security, azure",B.Tech ECE,NIT Warangal,Kolkata,female,0,"Meta, ICICI Bank, Apple, Google, Paytm, Unacademy, Goldman Sachs, Infosys",,,82.5,2025-11-21,12,65641,Preferred,False,True,4,2025-09-03T14:12:36.288321
STU00020,Kavya Thakur,thakur.kavya@gmail.com,04877811080,9.72,"sketch, photoshop, figma, wireframing, cassandra, angular, project management",M.Tech CSE,Manipal Institute,Pune,general,2,"HCL Technologies, Freshworks, Accenture, Amazon",,https://linkedin.com/in/kavya-thakur-20,83.3,2025-12-19,3,28319,Yes,False,True,9,2025-09-22T14:12:36.288321
STU00021,Aditya Sharma,sharma.aditya@gmail.com,+917873055464,6.94,"kubernetes, google cloud, c++, terraform, cassandra, docker, azure, sap, javascript",B.Tech IT,IIT Bombay,Mumbai,rural,1,"Microsoft, TCS, Axis Bank",https://github.com/adityasharma21,,66.9,2025-11-09,3,32411,Preferred,True,False,1,2025-09-14T14:12:36.289322
STU00022,Tara Nair,nair.tara@gmail.com,9217081806,9.17,"rust, penetration testing, c#, ethical hacking, pytorch, oracle, cryptography, network security, javascript",B.Tech CSE,IIT Madras,Noida,reserved,0,"Netflix, Unacademy, TCS, PhonePe, Infosys, Swiggy, Microsoft",https://github.com/taranair22,https://linkedin.com/in/tara-nair-22,92.3,2025-11-07,12,56699,No,False,False,15,2025-09-18T14:12:36.289322
STU00023,Arnav Nair,arnav.nair@student.edu,+910442319852,9.4,"mysql, android, flutter, penetration testing, scikit-learn",B.E Computer Science,IIT Delhi,Gurgaon,general,2,"Unacademy, Deloitte, Morgan Stanley, Meta",https://github.com/arnavnair23,,78.5,2025-12-10,12,27082,Yes,False,True,17,2025-09-22T14:12:36.289322
STU00024,Vikram M. Joshi,joshi.vikram@gmail.com,+914546666442,6.61,"mysql, postgresql, firewall, pytorch, tensorflow, scikit-learn, terraform, tableau, machine learning, deep learning",B.E Computer Science,NIT Calicut,Delhi,reserved,0,"Flipkart, Deloitte, Meta, Paytm, Wipro, Apple",https://github.com/vikramjoshi24,https://linkedin.com/in/vikram-joshi-24,73.3,2025-11-19,12,52328,Yes,False,False,7,2025-09-06T14:12:36.289322
STU00025,Ayaan Rajput,ayaan25@college.ac.in,+918660446659,6.23,"flask, django, swift, scikit-learn",B.Tech IT,IIT Kanpur,Kolkata,rural,0,"Deloitte, Zomato, Tech Mahindra, Morgan Stanley, PhonePe, ICICI Bank, Unacademy",https://github.com/ayaanrajput25,https://linkedin.com/in/ayaan-rajput-25,90.4,2025-12-16,3,59715,Yes,True,True,4,2025-09-22T14:12:36.289322
